customer_id,first_name,last_name,email,registration_date
1,Claire,Gute,claire.gute@gmail.com,11/8/2019
2,Darrin,Van,darrin.van@gmail.com,11/8/2019
3,Sean,O'Donnell,sean.o'donnell@gmail.com,6/12/2019
4,Brosina,Hoffman,brosina.hoffman@gmail.com,10/11/2018
5,Andrew,Allen,andrew.allen@gmail.com,10/11/2018
6,Irene,Maddox,irene.maddox@gmail.com,6/9/2017
7,Harold,Pawlan,harold.pawlan@gmail.com,6/9/2017
8,Pete,Kriz,pete.kriz@gmail.com,6/9/2017
9,Alejandro,Grove,alejandro.grove@gmail.com,6/9/2017
10,Zuschuss,Donatelli,zuschuss.donatelli@gmail.com,6/9/2017
11,Ken,Black,ken.black@gmail.com,6/9/2017
12,Sandra,Flanagan,sandra.flanagan@gmail.com,6/9/2017
13,Emily,Burns,emily.burns@gmail.com,4/15/2020
14,Eric,Hoffmann,eric.hoffmann@gmail.com,12/5/2019
15,Tracy,Blumstein,tracy.blumstein@gmail.com,11/22/2018
16,Matt,Abelman,matt.abelman@gmail.com,11/22/2018
17,Gene,Hale,gene.hale@gmail.com,11/11/2017
18,Steve,Nguyen,steve.nguyen@gmail.com,5/13/2017
19,Linda,Cazamias,linda.cazamias@gmail.com,8/27/2017
20,Ruben,Ausman,ruben.ausman@gmail.com,8/27/2017
21,Erin,Smith,erin.smith@gmail.com,8/27/2017
22,Odella,Nelson,odella.nelson@gmail.com,12/9/2019
23,Patrick,O'Donnell,patrick.o'donnell@gmail.com,12/9/2019
24,Lena,Hernandez,lena.hernandez@gmail.com,7/16/2020
25,Darren,Powers,darren.powers@gmail.com,9/25/2018
26,Janet,Molinari,janet.molinari@gmail.com,1/16/2019
27,Ted,Butterfield,ted.butterfield@gmail.com,1/16/2019
28,Kunst,Miller,kunst.miller@gmail.com,9/17/2018
29,Paul,Stevenson,paul.stevenson@gmail.com,9/17/2018
30,Brendan,Sweed,brendan.sweed@gmail.com,9/17/2018
31,Karen,Daniels,karen.daniels@gmail.com,9/17/2018
32,Henry,MacAllister,henry.macallister@gmail.com,9/17/2018
33,Joel,Eaton,joel.eaton@gmail.com,9/17/2018
34,Ken,Brennan,ken.brennan@gmail.com,9/17/2018
35,Stewart,Carmichael,stewart.carmichael@gmail.com,10/19/2020
36,Duane,Noonan,duane.noonan@gmail.com,12/8/2019
37,Julie,Creighton,julie.creighton@gmail.com,12/8/2019
38,Christopher,Schild,christopher.schild@gmail.com,12/27/2018
39,Paul,Gonzalez,paul.gonzalez@gmail.com,12/27/2018
40,Gary,Mitchum,gary.mitchum@gmail.com,12/27/2018
41,Jim,Sink,jim.sink@gmail.com,12/27/2018
42,Karl,Braun,karl.braun@gmail.com,9/10/2020
43,Roger,Barcio,roger.barcio@gmail.com,7/17/2019
44,Parhena,Norris,parhena.norris@gmail.com,9/19/2020
45,Katherine,Ducich,katherine.ducich@gmail.com,3/11/2019
46,Elpida,Rittenbach,elpida.rittenbach@gmail.com,3/11/2019
47,Rick,Bensley,rick.bensley@gmail.com,10/20/2017
48,Gary,Zandusky,gary.zandusky@gmail.com,6/20/2019
49,Lena,Cacioppo,lena.cacioppo@gmail.com,6/20/2019
50,Janet,Martin,janet.martin@gmail.com,4/18/2018
51,Pete,Armstrong,pete.armstrong@gmail.com,4/18/2018
52,Cynthia,Voltz,cynthia.voltz@gmail.com,4/18/2018
53,Clay,Ludtke,clay.ludtke@gmail.com,4/18/2018
54,Ryan,Crowe,ryan.crowe@gmail.com,12/11/2019
55,Dave,Kipp,dave.kipp@gmail.com,12/11/2019
56,Greg,Guthrie,greg.guthrie@gmail.com,6/17/2019
57,Steven,Cartwright,steven.cartwright@gmail.com,6/17/2019
